City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,69.8,30,0,19.57,AU,1613960372
1,auki,-8.7676,160.7034,83.98,79,94,4.14,SB,1613960387
2,vaini,-21.2,-175.2,82.4,69,40,13.8,TO,1613960389
3,ushuaia,-54.8,-68.3,41.0,81,75,6.91,AR,1613960392
4,neuquen,-38.9516,-68.0591,69.8,40,0,9.22,AR,1613960394
5,jamestown,42.097,-79.2353,28.99,43,90,12.66,US,1613960248
6,acapulco,16.8634,-99.8901,78.8,73,20,8.05,MX,1613960110
7,cape town,-33.9258,18.4232,62.01,63,0,11.5,ZA,1613960108
8,rikitea,-23.1203,-134.9692,80.22,66,0,7.23,PF,1613960402
9,ostrov,57.3439,28.3537,33.8,100,90,2.24,RU,1613960404
10,mataura,-46.1927,168.8643,71.01,60,100,5.99,NZ,1613960407
11,vardo,70.3705,31.1107,10.29,94,100,25.26,NO,1613960409
12,filingue,14.3521,3.3168,66.78,22,0,8.95,NE,1613960412
13,hermanus,-34.4187,19.2345,57.0,76,47,11.01,ZA,1613960414
14,saint george,37.1041,-113.5841,53.01,25,1,8.05,US,1613960353
15,koumac,-20.5667,164.2833,86.0,67,70,4.63,NC,1613960418
16,harper,4.375,-7.7169,78.62,85,85,4.79,LR,1613960420
17,saint-philippe,-21.3585,55.7679,77.0,69,0,3.44,RE,1613960422
18,chitungwiza,-18.0127,31.0756,64.0,80,100,4.0,ZW,1613960424
19,punta arenas,-53.15,-70.9167,46.4,61,90,16.11,CL,1613960246
20,khatanga,71.9667,102.5,-26.91,85,100,12.06,RU,1613960431
21,bethel,41.3712,-73.414,21.0,73,1,1.48,US,1613960433
22,dogondoutchi,13.6393,4.0287,69.31,19,12,11.12,NE,1613960435
23,kresek,-6.1314,106.3797,86.0,78,75,5.75,ID,1613960437
24,blagoyevo,63.3667,47.9167,-32.44,82,0,4.94,RU,1613960439
25,tuatapere,-46.1333,167.6833,71.01,60,100,5.99,NZ,1613960441
26,qaanaaq,77.484,-69.3632,-13.81,72,100,4.54,GL,1613960443
27,atuona,-9.8,-139.0333,79.11,80,100,14.76,PF,1613960446
